2022-12-09,513681065
2022-12-09,435583225
2022-12-09,065630573
2022-12-10,175860758
2022-12-10,621475353
2022-12-11,678471823
2022-12-11,161506182
2022-12-11,457266288
2022-12-11,227306471
2022-12-11,278250015
2022-12-11,250282550
2022-12-11,577420644
2022-12-11,438021110
2022-12-11,473070301
2022-12-11,083100388
2022-12-11,184461807
2022-12-11,743683180
2022-12-11,072205755
2022-12-11,343276651
2022-12-11,210560762
2022-12-11,721142823
2022-12-11,201178542
2022-12-11,486174444
2022-12-11,852741410
2022-12-11,604434118
2022-12-11,383277812
2022-12-11,650476863
2022-12-11,303388530
2022-12-11,010638764
2022-12-11,844162821
2022-12-11,746668533
2022-12-16,147855237
2022-12-16,826613264
2022-12-16,474700845
2022-12-16,341205830
2022-12-16,452645625
2022-12-16,761282048
2022-12-16,310760820
2022-12-16,262341408
2023-06-08,648117216
